versao;linhas;colunas;tarefas;execucao;tempo_ms;resultado;resultado_correto
V1 - Sequencial;500;500;-;1;3280,736;1264682,8309984687;sim
V1 - Sequencial;500;500;-;2;3246,745;1264682,8309984687;sim
V1 - Sequencial;500;500;-;3;3217,160;1264682,8309984687;sim
V1 - Sequencial;500;500;-;4;3198,227;1264682,8309984687;sim
V1 - Sequencial;500;500;-;5;3225,119;1264682,8309984687;sim
V1 - Sequencial;500;500;-;6;3199,117;1264682,8309984687;sim
V1 - Sequencial;500;500;-;7;3205,073;1264682,8309984687;sim
V1 - Sequencial;500;500;-;8;3211,132;1264682,8309984687;sim
V1 - Sequencial;500;500;-;9;3196,004;1264682,8309984687;sim
V1 - Sequencial;500;500;-;10;3212,467;1264682,8309984687;sim
V2 - Paralelismo nao estruturado;500;500;5;1;856,410;1264682,8309987728;sim
V2 - Paralelismo nao estruturado;500;500;5;2;748,895;1264682,8309987728;sim
V2 - Paralelismo nao estruturado;500;500;5;3;721,483;1264682,8309987728;sim
V2 - Paralelismo nao estruturado;500;500;5;4;736,444;1264682,8309987728;sim
V2 - Paralelismo nao estruturado;500;500;5;5;744,775;1264682,8309987728;sim
V2 - Paralelismo nao estruturado;500;500;5;6;737,363;1264682,8309987728;sim
V2 - Paralelismo nao estruturado;500;500;5;7;749,061;1264682,8309987728;sim
V2 - Paralelismo nao estruturado;500;500;5;8;734,267;1264682,8309987728;sim
V2 - Paralelismo nao estruturado;500;500;5;9;777,198;1264682,8309987728;sim
V2 - Paralelismo nao estruturado;500;500;5;10;715,825;1264682,8309987728;sim
V2 - Paralelismo nao estruturado;500;500;10;1;600,358;1264682,8309986220;sim
V2 - Paralelismo nao estruturado;500;500;10;2;611,516;1264682,8309986220;sim
V2 - Paralelismo nao estruturado;500;500;10;3;629,599;1264682,8309986220;sim
V2 - Paralelismo nao estruturado;500;500;10;4;636,628;1264682,8309986220;sim
V2 - Paralelismo nao estruturado;500;500;10;5;611,072;1264682,8309986220;sim
V2 - Paralelismo nao estruturado;500;500;10;6;576,367;1264682,8309986220;sim
V2 - Paralelismo nao estruturado;500;500;10;7;623,616;1264682,8309986220;sim
V2 - Paralelismo nao estruturado;500;500;10;8;623,161;1264682,8309986220;sim
V2 - Paralelismo nao estruturado;500;500;10;9;635,311;1264682,8309986220;sim
V2 - Paralelismo nao estruturado;500;500;10;10;635,157;1264682,8309986220;sim
V2 - Paralelismo nao estruturado;500;500;100;1;535,090;1264682,8309986508;sim
V2 - Paralelismo nao estruturado;500;500;100;2;512,450;1264682,8309986508;sim
V2 - Paralelismo nao estruturado;500;500;100;3;563,267;1264682,8309986508;sim
V2 - Paralelismo nao estruturado;500;500;100;4;494,671;1264682,8309986508;sim
V2 - Paralelismo nao estruturado;500;500;100;5;493,872;1264682,8309986508;sim
V2 - Paralelismo nao estruturado;500;500;100;6;493,283;1264682,8309986508;sim
V2 - Paralelismo nao estruturado;500;500;100;7;509,094;1264682,8309986508;sim
V2 - Paralelismo nao estruturado;500;500;100;8;523,355;1264682,8309986508;sim
V2 - Paralelismo nao estruturado;500;500;100;9;506,422;1264682,8309986508;sim
V2 - Paralelismo nao estruturado;500;500;100;10;490,632;1264682,8309986508;sim
V3 - Paralelismo estruturado;500;500;5;1;732,680;1264682,8309987728;sim
V3 - Paralelismo estruturado;500;500;5;2;794,022;1264682,8309987728;sim
V3 - Paralelismo estruturado;500;500;5;3;822,999;1264682,8309987728;sim
V3 - Paralelismo estruturado;500;500;5;4;796,869;1264682,8309987728;sim
V3 - Paralelismo estruturado;500;500;5;5;826,638;1264682,8309987728;sim
V3 - Paralelismo estruturado;500;500;5;6;846,850;1264682,8309987728;sim
V3 - Paralelismo estruturado;500;500;5;7;834,860;1264682,8309987728;sim
V3 - Paralelismo estruturado;500;500;5;8;767,038;1264682,8309987728;sim
V3 - Paralelismo estruturado;500;500;5;9;806,167;1264682,8309987728;sim
V3 - Paralelismo estruturado;500;500;5;10;826,422;1264682,8309987728;sim
V3 - Paralelismo estruturado;500;500;10;1;627,148;1264682,8309986220;sim
V3 - Paralelismo estruturado;500;500;10;2;634,591;1264682,8309986220;sim
V3 - Paralelismo estruturado;500;500;10;3;596,458;1264682,8309986220;sim
V3 - Paralelismo estruturado;500;500;10;4;591,950;1264682,8309986220;sim
V3 - Paralelismo estruturado;500;500;10;5;627,214;1264682,8309986220;sim
V3 - Paralelismo estruturado;500;500;10;6;639,736;1264682,8309986220;sim
V3 - Paralelismo estruturado;500;500;10;7;625,675;1264682,8309986220;sim
V3 - Paralelismo estruturado;500;500;10;8;571,544;1264682,8309986220;sim
V3 - Paralelismo estruturado;500;500;10;9;605,841;1264682,8309986220;sim
V3 - Paralelismo estruturado;500;500;10;10;597,153;1264682,8309986220;sim
V3 - Paralelismo estruturado;500;500;100;1;505,845;1264682,8309986508;sim
V3 - Paralelismo estruturado;500;500;100;2;500,327;1264682,8309986508;sim
V3 - Paralelismo estruturado;500;500;100;3;502,077;1264682,8309986508;sim
V3 - Paralelismo estruturado;500;500;100;4;496,691;1264682,8309986508;sim
V3 - Paralelismo estruturado;500;500;100;5;500,090;1264682,8309986508;sim
V3 - Paralelismo estruturado;500;500;100;6;492,988;1264682,8309986508;sim
V3 - Paralelismo estruturado;500;500;100;7;496,662;1264682,8309986508;sim
V3 - Paralelismo estruturado;500;500;100;8;499,817;1264682,8309986508;sim
V3 - Paralelismo estruturado;500;500;100;9;510,010;1264682,8309986508;sim
V3 - Paralelismo estruturado;500;500;100;10;507,179;1264682,8309986508;sim
V4a - Estruturado + variavel atomica;500;500;5;1;818,073;1264682,8309987728;sim
V4a - Estruturado + variavel atomica;500;500;5;2;821,875;1264682,8309987728;sim
V4a - Estruturado + variavel atomica;500;500;5;3;800,435;1264682,8309987728;sim
V4a - Estruturado + variavel atomica;500;500;5;4;796,325;1264682,8309987728;sim
V4a - Estruturado + variavel atomica;500;500;5;5;815,916;1264682,8309987728;sim
V4a - Estruturado + variavel atomica;500;500;5;6;845,559;1264682,8309987728;sim
V4a - Estruturado + variavel atomica;500;500;5;7;812,757;1264682,8309987728;sim
V4a - Estruturado + variavel atomica;500;500;5;8;814,646;1264682,8309987728;sim
V4a - Estruturado + variavel atomica;500;500;5;9;822,539;1264682,8309987728;sim
V4a - Estruturado + variavel atomica;500;500;5;10;834,327;1264682,8309987728;sim
V4a - Estruturado + variavel atomica;500;500;10;1;598,875;1264682,8309986220;sim
V4a - Estruturado + variavel atomica;500;500;10;2;581,930;1264682,8309986220;sim
V4a - Estruturado + variavel atomica;500;500;10;3;597,138;1264682,8309986220;sim
V4a - Estruturado + variavel atomica;500;500;10;4;583,508;1264682,8309986220;sim
V4a - Estruturado + variavel atomica;500;500;10;5;581,840;1264682,8309986220;sim
V4a - Estruturado + variavel atomica;500;500;10;6;621,160;1264682,8309986220;sim
V4a - Estruturado + variavel atomica;500;500;10;7;600,503;1264682,8309986223;sim
V4a - Estruturado + variavel atomica;500;500;10;8;614,466;1264682,8309986220;sim
V4a - Estruturado + variavel atomica;500;500;10;9;598,185;1264682,8309986220;sim
V4a - Estruturado + variavel atomica;500;500;10;10;590,976;1264682,8309986220;sim
V4a - Estruturado + variavel atomica;500;500;100;1;494,394;1264682,8309986508;sim
V4a - Estruturado + variavel atomica;500;500;100;2;483,822;1264682,8309986508;sim
V4a - Estruturado + variavel atomica;500;500;100;3;498,484;1264682,8309986508;sim
V4a - Estruturado + variavel atomica;500;500;100;4;490,223;1264682,8309986508;sim
V4a - Estruturado + variavel atomica;500;500;100;5;491,167;1264682,8309986508;sim
V4a - Estruturado + variavel atomica;500;500;100;6;500,362;1264682,8309986508;sim
V4a - Estruturado + variavel atomica;500;500;100;7;491,498;1264682,8309986508;sim
V4a - Estruturado + variavel atomica;500;500;100;8;496,126;1264682,8309986508;sim
V4a - Estruturado + variavel atomica;500;500;100;9;490,340;1264682,8309986508;sim
V4a - Estruturado + variavel atomica;500;500;100;10;495,378;1264682,8309986508;sim
V4b - Estruturado + colecao concorrente;500;500;5;1;874,425;1264682,8309987728;sim
V4b - Estruturado + colecao concorrente;500;500;5;2;828,149;1264682,8309987728;sim
V4b - Estruturado + colecao concorrente;500;500;5;3;822,803;1264682,8309987728;sim
V4b - Estruturado + colecao concorrente;500;500;5;4;849,400;1264682,8309987728;sim
V4b - Estruturado + colecao concorrente;500;500;5;5;817,580;1264682,8309987728;sim
V4b - Estruturado + colecao concorrente;500;500;5;6;831,624;1264682,8309987728;sim
V4b - Estruturado + colecao concorrente;500;500;5;7;870,605;1264682,8309987728;sim
V4b - Estruturado + colecao concorrente;500;500;5;8;804,409;1264682,8309987728;sim
V4b - Estruturado + colecao concorrente;500;500;5;9;837,093;1264682,8309987728;sim
V4b - Estruturado + colecao concorrente;500;500;5;10;805,710;1264682,8309987728;sim
V4b - Estruturado + colecao concorrente;500;500;10;1;586,199;1264682,8309986220;sim
V4b - Estruturado + colecao concorrente;500;500;10;2;586,839;1264682,8309986223;sim
V4b - Estruturado + colecao concorrente;500;500;10;3;592,525;1264682,8309986220;sim
V4b - Estruturado + colecao concorrente;500;500;10;4;590,262;1264682,8309986220;sim
V4b - Estruturado + colecao concorrente;500;500;10;5;595,707;1264682,8309986220;sim
V4b - Estruturado + colecao concorrente;500;500;10;6;591,345;1264682,8309986220;sim
V4b - Estruturado + colecao concorrente;500;500;10;7;591,185;1264682,8309986220;sim
V4b - Estruturado + colecao concorrente;500;500;10;8;584,913;1264682,8309986220;sim
V4b - Estruturado + colecao concorrente;500;500;10;9;589,058;1264682,8309986220;sim
V4b - Estruturado + colecao concorrente;500;500;10;10;588,522;1264682,8309986223;sim
V4b - Estruturado + colecao concorrente;500;500;100;1;486,403;1264682,8309986508;sim
V4b - Estruturado + colecao concorrente;500;500;100;2;487,438;1264682,8309986508;sim
V4b - Estruturado + colecao concorrente;500;500;100;3;495,866;1264682,8309986508;sim
V4b - Estruturado + colecao concorrente;500;500;100;4;524,304;1264682,8309986508;sim
V4b - Estruturado + colecao concorrente;500;500;100;5;501,548;1264682,8309986508;sim
V4b - Estruturado + colecao concorrente;500;500;100;6;505,747;1264682,8309986508;sim
V4b - Estruturado + colecao concorrente;500;500;100;7;541,936;1264682,8309986508;sim
